raw_path	sha256	size	mtime	type	title	date	tags	n_images	status
raw/posts/2018/2018-07-03-macos-practice.md	95726c0e76a9a7e281095102966245a4daed83e3a356e83e1aa4b948ba388acc	6373	1782400862	article	macOS实践	2018-07-03 00:00:00 +0800	macos|mac|terminal|finder|shortcuts|productivity|tools|command-line|tips	0	new
raw/posts/2018/2018-12-26-container-based-load-balancing.md	7a5a9393374cea8092af138a9188eef018881491f539f4cf33c445ad9e235b2a	2788	1782400862	article	基于容器的负载均衡	2018-12-26 00:00:00 +0800	haproxy|负载均衡|docker|load-balancing|containers|devops	0	new
raw/posts/2018/2018-12-26-mac-remote-connect-ubuntu-desktop.md	140e05db1a4b3791d6122039563342d5ca09a05b3c5f2b0a767df6a08d84b81e	677	1782400862	article	MAC 远程连接 Ubuntu 桌面	2018-12-26 10:00:00 +0800	ubuntu|linux|mac|vnc|remote-desktop|remote|tutorial	0	new
raw/posts/2018/2018-12-26-open-ssh-service.md	6f759cfd8af3b053da8d7f60e660d65d450908a7e4c7db21cb3d9b125c11854b	1326	1782400862	article	开启SSH服务	2018-12-26 08:00:00 +0800	ssh|service|ubuntu|linux|sysadmin|networking|security|tutorial	0	new
raw/posts/2019/2019-02-20-build-a-private-docker-registry.md	ac3aeca012ec3a33dcf72272dcf3d454fe9ab81909ab7d51bf1198a71d296781	2105	1782400862	article	搭建 Private Docker Registry	2019-02-20 00:00:00 +0800	docker|registry|private-registry|devops|deployment|tutorial	0	new
raw/posts/2019/2019-03-05-dockerfile-jdk-mcr(matlab-compiler-runtime).md	1243d1b1b8f2ba8214ccabe2693815e4a6d2b00f9f4262716c419625bd84e95f	1493	1782400862	article	Dockerfile JDK-MCR(MATLAB Compiler Runtime)	2019-03-05 00:00:00 +0800	docker|dockerfile|java|jdk|matlab|mcr|deployment|tutorial	0	new
raw/posts/2019/2019-04-12-linux-system-network-configuration.md	591593a63cbbd9c830eb15fd9bcfab5a370cd5761a24893e8c02f5bb06e3397e	2210	1782400862	article	Linux系统网络配置	2019-04-12 00:00:00 +0800	ubuntu|linux|networking|netplan|static-ip|sysadmin|tutorial	0	new
raw/posts/2019/2019-05-19-install-input-method-on-linux.md	6f9512f7be0661a71dcb034e1b0211a0806208f78efa43361599d1f669e0d106	461	1782400862	article	在 Linux 上安装输入法	2019-05-19 08:00:00 +0800	输入法|linux|ubuntu|centos|input-method|tutorial	0	new
raw/posts/2019/2019-07-01-use-darknet-to-train-yolov3-on-a-custom-data-set.md	f9dffb9ee87868a6a3313a95d50ae4640f2ddce95bb8927e151dcb2bc2165359	3815	1782400862	article	使用Darknet在自定义数据集上训练YOLOv3	2019-07-01 00:00:00 +0800	目标检测|darknet|yolo|yolov3|machine-learning|computer-vision|tutorial	0	new
raw/posts/2019/2019-07-09-a-containerized-product-for-model-training-and-deployment-based-on-the-yolov3-algorithm-developed-by-the-darknet-framework.md	2d010679b0fa03e809422b7d42dc823787687043cc7b46598ed8d10a212a6481	5193	1782400862	article	基于Darknet框架的YOLOv3算法开发的模型训练和部署的容器化产品	2019-07-09 00:00:00 +0800	目标检测|darknet|yolo|yolov3|docker|containers|machine-learning|computer-vision|deployment	0	new
